no,feature,description,keep,data_type,remarks
47,Mall_Within_1km,number of malls within 1 kilometre,0,numerical,
48,Mall_Within_2km,number of malls within 2 kilometres,0,numerical,
49,Hawker_Nearest_Distance,distance (in metres) to the nearest hawker centre,1,numerical,
50,Hawker_Within_500m,number of hawker centres within 500 metres,1,numerical,
51,Hawker_Within_1km,number of hawker centres within 1 kilometre,0,numerical,
52,Hawker_Within_2km,number of hawker centres within 2 kilometres,0,numerical,
53,hawker_food_stalls,number of hawker food stalls in the nearest hawker centre,0,numerical,some of the data might not be complete
54,hawker_market_stalls,number of hawker and market stalls in the nearest hawker centre,0,numerical,"Determines wet marker, some of the data might not be complete"
55,mrt_nearest_distance,distance (in metres) to the nearest MRT station,1,numerical,
56,mrt_name,name of the nearest MRT station,1,Categorical,"Maybe, maybenot, as town area should be sufficient to cover it, but we can see"
57,bus_interchange,boolean value if the nearest MRT station is also a bus interchange,1,Categorical,
58,mrt_interchange,boolean value if the nearest MRT station is a train interchange station,1,Categorical,
59,mrt_latitude,latitude (in decimal degrees) of the the nearest MRT station,0,numerical,
60,mrt_longitude,longitude (in decimal degrees) of the nearest MRT station,0,numerical,
61,bus_stop_nearest_distance,distance (in metres) to the nearest bus stop,1,numerical,
62,bus_stop_name,name of the nearest bus stop,0,Categorical,
63,bus_stop_latitude,latitude (in decimal degrees) of the the nearest bus stop,0,numerical,
64,bus_stop_longitude,longitude (in decimal degrees) of the nearest bus stop,0,numerical,
65,pri_sch_nearest_distance,distance (in metres) to the nearest primary school,1,numerical,
66,pri_sch_name,name of the nearest primary school,1,Categorical,"To human this matters, keep to try"
67,vacancy,number of vacancies in the nearest primary school,0,numerical,
68,pri_sch_affiliation,boolean value if the nearest primary school has a secondary school affiliation,1,Categorical,
69,pri_sch_latitude,latitude (in decimal degrees) of the the nearest primary school,0,numerical,
70,pri_sch_longitude,longitude (in decimal degrees) of the nearest primary school,0,numerical,
71,sec_sch_nearest_dist,distance (in metres) to the nearest secondary school,1,numerical,
72,sec_sch_name,name of the nearest secondary school,0,Categorical,
73,cutoff_point,PSLE cutoff point of the nearest secondary school,1,numerical,Cutoff point is more important than school name
74,affiliation,boolean value if the nearest secondary school has an primary school affiliation,0,Categorical,Same as primary school affiliation
75,sec_sch_latitude,latitude (in decimal degrees) of the the nearest secondary school,0,numerical,
76,sec_sch_longitude,longitude (in decimal degrees) of the nearest secondary school,0,numerical,
